# Spike B promisc - run 2, 2026-08-09, nRF54L15 DK (COM7, 115200) running
# ant_core/spike/promisc built for nrf54l15dk/nrf54l15/cpuapp.
#
# Rig: two boards. The capture board hears; the Adafruit Feather nRF52840
# already flashed with the shipping dongle firmware (0FCF:1009, serial
# ...6183) is driven as an ANT+ master by
# ant_core/spike/promisc/spike_b_drive.py --role master. Zero Feather flashes.
# Device under test: #14871 (0x3A17), device type 0x0B, transmission type 5,
# channel period 8182 (4.005 Hz) - the same transmitter Spike A used.
#
# Radio: promiscuous, PCNF0=0, BALEN=2 (on-air address A6 C5 17), STATLEN=12,
# BASE0=BASE1=0xA3650000, eight logical addresses armed (RXADDRESSES=0xFF) with
# the real devnum_lo at slot 5 and seven decoys.
#
# Line format:
#   P t=<us> dt=<us since this device's previous frame> OK|ER m=<RXMATCH>
#     rssi=<dBm> dn=<device number> ty=<device type> tt=<transmission type>
#     B3=<the byte under investigation> pl=<8 payload bytes> crc=<RADIO->RXCRC>
#     air=<us from the ADDRESS interrupt to the END interrupt>
#   S <running counters and a histogram of B3 over CRC-valid frames>
# Payload byte 0 marks what the host asked for: B0 broadcast, A0 acknowledged,
# C0 burst; byte 1 is that message's sequence number in the host script.
# Counters in S lines are cumulative since the board booted, so they span every
# run made without a reflash, not just this one.
#
# Only CRC-valid frames from this device are printed, plus CRC-failing frames
# whose channel ID still reads correctly (there were none). Frames rejected by
# the CRC are noise through a 3-byte matcher and are counted, not printed.
#
# The independent repeat of run 1. Host sequence: 15 s broadcast, 6
# acknowledged messages 1.5 s apart, one 12-block burst attempt, 10 s
# broadcast.
#
P t=3645400605 dt=+26321692 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0005AA500112233 crc=9226 air=93
P t=3645650300 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0015AA500112233 crc=2A47 air=94
P t=3645899995 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0025AA500112233 crc=F2C5 air=96
P t=3646149691 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0035AA500112233 crc=4AA4 air=97
P t=3646399386 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0045AA500112233 crc=53E0 air=97
P t=3646649083 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0055AA500112233 crc=EB81 air=97
P t=3646898779 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0065AA500112233 crc=3303 air=112
P t=3647148475 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0075AA500112233 crc=8B62 air=97
P t=3647398171 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0085AA500112233 crc=018B air=97
P t=3647647867 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0095AA500112233 crc=B9EA air=97
P t=3647897556 dt= +249689 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B00A5AA500112233 crc=6168 air=120
P t=3648147261 dt= +249705 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B00B5AA500112233 crc=D909 air=96
P t=3648396956 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B00C5AA500112233 crc=C04D air=97
S t=3648442476 ours=330 foreign=0 longframe=0 crc_ok=330 crc_err=115 addr=445 end=445 dropped=0  B3: 0A=318 8A=2 AA=10
P t=3648646668 dt= +249712 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B00D5AA500112233 crc=782C air=81
P t=3648896350 dt= +249682 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B00E5AA500112233 crc=A0AE air=96
P t=3649146058 dt= +249708 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B00F5AA500112233 crc=18CF air=84
P t=3649395753 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0105AA500112233 crc=A55D air=86
P t=3649645448 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0115AA500112233 crc=1D3C air=86
P t=3649895142 dt= +249694 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0125AA500112233 crc=C5BE air=89
P t=3650144837 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0135AA500112233 crc=7DDF air=90
P t=3650394532 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0145AA500112233 crc=649B air=93
P t=3650644227 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0155AA500112233 crc=DCFA air=93
P t=3650893922 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0165AA500112233 crc=0478 air=94
P t=3651143616 dt= +249694 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0175AA500112233 crc=BC19 air=97
P t=3651393312 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0185AA500112233 crc=36F0 air=96
P t=3651643008 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0195AA500112233 crc=8E91 air=97
P t=3651892705 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B01A5AA500112233 crc=5613 air=97
P t=3652142401 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B01B5AA500112233 crc=EE72 air=96
P t=3652392097 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B01C5AA500112233 crc=F736 air=97
P t=3652641793 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B01D5AA500112233 crc=4F57 air=97
P t=3652891489 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B01E5AA500112233 crc=97D5 air=97
P t=3653141186 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B01F5AA500112233 crc=2FB4 air=97
P t=3653390883 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0205AA500112233 crc=FCD0 air=96
P t=3653640578 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0215AA500112233 crc=44B1 air=97
P t=3653890290 dt= +249712 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0225AA500112233 crc=9C33 air=82
P t=3654139985 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0235AA500112233 crc=2452 air=82
P t=3654389680 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0245AA500112233 crc=3D16 air=84
P t=3654639374 dt= +249694 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0255AA500112233 crc=8577 air=88
P t=3654889069 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0265AA500112233 crc=5DF5 air=88
P t=3655138764 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0275AA500112233 crc=E594 air=89
P t=3655388452 dt= +249688 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0285AA500112233 crc=6F7D air=112
P t=3655638154 dt= +249702 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0295AA500112233 crc=D71C air=92
P t=3655887849 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B02A5AA500112233 crc=0F9E air=92
P t=3656137544 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B02B5AA500112233 crc=B7FF air=94
P t=3656387237 dt= +249693 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B02C5AA500112233 crc=AEBB air=97
