# Spike B promisc - run 4, burst block-count sweep, 2026-08-09, nRF54L15 DK (COM7, 115200) running
# ant_core/spike/promisc built for nrf54l15dk/nrf54l15/cpuapp.
#
# Rig: two boards. The capture board hears; the Adafruit Feather nRF52840
# already flashed with the shipping dongle firmware (0FCF:1009, serial
# ...6183) is driven as an ANT+ master by
# ant_core/spike/promisc/spike_b_drive.py --role master. Zero Feather flashes.
# Device under test: #14871 (0x3A17), device type 0x0B, transmission type 5,
# channel period 8182 (4.005 Hz) - the same transmitter Spike A used.
#
# Radio: promiscuous, PCNF0=0, BALEN=2 (on-air address A6 C5 17), STATLEN=12,
# BASE0=BASE1=0xA3650000, eight logical addresses armed (RXADDRESSES=0xFF) with
# the real devnum_lo at slot 5 and seven decoys.
#
# Line format:
#   P t=<us> dt=<us since this device's previous frame> OK|ER m=<RXMATCH>
#     rssi=<dBm> dn=<device number> ty=<device type> tt=<transmission type>
#     B3=<the byte under investigation> pl=<8 payload bytes> crc=<RADIO->RXCRC>
#     air=<us from the ADDRESS interrupt to the END interrupt>
#   S <running counters and a histogram of B3 over CRC-valid frames>
# Payload byte 0 marks what the host asked for: B0 broadcast, A0 acknowledged,
# C0 burst; byte 1 is that message's sequence number in the host script.
# Counters in S lines are cumulative since the board booted, so they span every
# run made without a reflash, not just this one.
#
# Only CRC-valid frames from this device are printed, plus CRC-failing frames
# whose channel ID still reads correctly (there were none). Frames rejected by
# the CRC are noise through a 3-byte matcher and are counted, not printed.
#
# Host sequence: 6 s broadcast, 1 acknowledged message, then bursts of
# 1, 2, 3 and 12 blocks, then 6 s broadcast. The stack raised
# EVENT_TRANSFER_TX_START three times for four bursts: the one-block
# case is not treated as a burst at all.
#
S t=1918574993 ours=584 foreign=0 longframe=0 crc_ok=584 crc_err=6601 addr=7185 end=7185 dropped=0  B3: 0A=559 8A=6 AA=19
S t=1933574218 ours=584 foreign=0 longframe=0 crc_ok=584 crc_err=6608 addr=7192 end=7192 dropped=0  B3: 0A=559 8A=6 AA=19
P t=1940693255 dt=+317625610 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=B0005AA500112233 crc=9226 air=86
P t=1940942951 dt= +249696 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=B0015AA500112233 crc=2A47 air=86
P t=1941192645 dt= +249694 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=B0025AA500112233 crc=F2C5 air=89
P t=1941442333 dt= +249688 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=B0035AA500112233 crc=4AA4 air=97
P t=1941692035 dt= +249702 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=B0045AA500112233 crc=53E0 air=92
P t=1941941730 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=B0055AA500112233 crc=EB81 air=93
P t=1942191425 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=B0065AA500112233 crc=3303 air=94
P t=1942441119 dt= +249694 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=B0075AA500112233 crc=8B62 air=97
P t=1942690816 dt= +249697 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=B0085AA500112233 crc=018B air=97
P t=1942940511 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=B0095AA500112233 crc=B9EA air=97
P t=1943190209 dt= +249698 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=B00A5AA500112233 crc=6168 air=96
