# ANT_DLL.dll export table, 154 entries, ordinal order.
# Read from the PE export directory of the copy Zwift installs at
#   C:\Program Files (x86)\Zwift\ANT_DLL.dll
# SHA-256 db4d99c5400085b1fce1988cd116c2250d7953238b31bd196419e0c6253d62f9
# Retrieved 2026-08-08. The DLL itself is not committed; see README.md.
#
# ordinal  name
      1  ANTFS_CloseBeacon
      2  ANTFS_ConfigBeacon
      3  ANTFS_CryptoAddUserKeyIndex
      4  ANTFS_CryptoSetUserKeyIndex
      5  ANTFS_CryptoSetUserKeyVal
      6  ANTFS_DirectoryGetSize
      7  ANTFS_DirectoryReadEntry
      8  ANTFS_DirectoryReadLock
      9  ANTFS_DirectoryRebuild
     10  ANTFS_EnableRemoteFileCreate
     11  ANTFS_FileClose
     12  ANTFS_FileCreate
     13  ANTFS_FileDelete
     14  ANTFS_FileGetSize
     15  ANTFS_FileGetSizeInMem
     16  ANTFS_FileGetSpecificFlags
     17  ANTFS_FileGetSystemTime
     18  ANTFS_FileOpen
     19  ANTFS_FileReadAbsolute
     20  ANTFS_FileReadRelative
     21  ANTFS_FileWriteAbsolute
     22  ANTFS_FileWriteRelative
     23  ANTFS_FindFileIndex
     24  ANTFS_FitFileIntegrityCheck
     25  ANTFS_FormatFSMemory
     26  ANTFS_GetCmdPipe
     27  ANTFS_GetFreeSpace
     28  ANTFS_GetLastError
     29  ANTFS_GetUsedSpace
     30  ANTFS_InitEEPROMDevice
     31  ANTFS_InitFSMemory
     32  ANTFS_OpenBeacon
     33  ANTFS_PairResponse
     34  ANTFS_ReadDirectoryAbsolute
     35  ANTFS_SaveDirectory
     36  ANTFS_SetBeaconState
     37  ANTFS_SetBeaconTimeout
     38  ANTFS_SetCmdPipe
     39  ANTFS_SetFileSpecificFlags
     40  ANTFS_SetFriendlyName
     41  ANTFS_SetLinkFrequency
     42  ANTFS_SetPairingTimeout
     43  ANTFS_SetPasskey
     44  ANTFS_SetSystemTime
     45  ANT_AddChannelID
     46  ANT_AddChannelID_RTO
     47  ANT_AssignChannel
     48  ANT_AssignChannelEventFunction
     49  ANT_AssignChannelExt
     50  ANT_AssignChannelExt_RTO
     51  ANT_AssignChannel_RTO
     52  ANT_AssignResponseFunction
     53  ANT_Close
     54  ANT_CloseChannel
     55  ANT_CloseChannel_RTO
     56  ANT_ConfigEventBuffer
     57  ANT_ConfigEventBuffer_RTO
     58  ANT_ConfigEventFilter
     59  ANT_ConfigEventFilter_RTO
     60  ANT_ConfigFrequencyAgility
     61  ANT_ConfigFrequencyAgility_RTO
     62  ANT_ConfigHighDutySearch
     63  ANT_ConfigHighDutySearch_RTO
     64  ANT_ConfigList
     65  ANT_ConfigList_RTO
     66  ANT_ConfigSelectiveDataUpdate
     67  ANT_ConfigSelectiveDataUpdate_RTO
     68  ANT_ConfigUserNVM
     69  ANT_ConfigUserNVM_RTO
     70  ANT_ConfigureAdvancedBurst
     71  ANT_ConfigureAdvancedBurst_RTO
     72  ANT_ConfigureAdvancedBurst_ext
     73  ANT_ConfigureAdvancedBurst_ext_RTO
     74  ANT_CrystalEnable
     75  ANT_CrystalEnable_RTO
     76  ANT_EnableLED
     77  ANT_EnableLED_RTO
     78  ANT_GetDeviceUSBInfo
     79  ANT_GetDeviceUSBPID
     80  ANT_GetDeviceUSBVID
     81  ANT_Init
     82  ANT_InitCWTestMode
     83  ANT_InitCWTestMode_RTO
     84  ANT_LibConfigCustom
     85  ANT_LibVersion
     86  ANT_NVM_Clear
     87  ANT_NVM_Clear_RTO
     88  ANT_NVM_Dump
     89  ANT_NVM_Dump_RTO
     90  ANT_NVM_EndSector
     91  ANT_NVM_EndSector_RTO
     92  ANT_NVM_Lock
     93  ANT_NVM_Lock_RTO
     94  ANT_NVM_SetDefaultSector
     95  ANT_NVM_SetDefaultSector_RTO
     96  ANT_NVM_Write
     97  ANT_NVM_Write_RTO
     98  ANT_Nap
     99  ANT_OpenChannel
    100  ANT_OpenChannel_RTO
    101  ANT_OpenRxScanMode
    102  ANT_OpenRxScanMode_RTO
    103  ANT_RSSI_SetSearchThreshold
    104  ANT_RSSI_SetSearchThreshold_RTO
    105  ANT_RequestMessage
    106  ANT_ResetSystem
    107  ANT_RxExtMesgsEnable
    108  ANT_RxExtMesgsEnable_RTO
    109  ANT_SendAcknowledgedData
    110  ANT_SendAcknowledgedData_RTO
    111  ANT_SendBroadcastData
    112  ANT_SendBurstTransfer
    113  ANT_SendBurstTransfer_RTO
    114  ANT_SendExtAcknowledgedData
    115  ANT_SendExtAcknowledgedData_RTO
    116  ANT_SendExtBroadcastData
    117  ANT_SendExtBurstTransfer
    118  ANT_SendExtBurstTransferPacket
    119  ANT_SendExtBurstTransfer_RTO
    120  ANT_SetCWTestMode
    121  ANT_SetCWTestMode_RTO
    122  ANT_SetChannelId
    123  ANT_SetChannelId_RTO
    124  ANT_SetChannelPeriod
    125  ANT_SetChannelPeriod_RTO
    126  ANT_SetChannelRFFreq
    127  ANT_SetChannelRFFreq_RTO
    128  ANT_SetChannelSearchTimeout
    129  ANT_SetChannelSearchTimeout_RTO
    130  ANT_SetChannelTxPower
    131  ANT_SetChannelTxPower_RTO
    132  ANT_SetDebugLogDirectory
    133  ANT_SetLowPriorityChannelSearchTimeout
    134  ANT_SetLowPriorityChannelSearchTimeout_RTO
    135  ANT_SetNetworkKey
    136  ANT_SetNetworkKey_RTO
    137  ANT_SetProximitySearch
    138  ANT_SetProximitySearch_RTO
    139  ANT_SetSelectiveDataUpdateMask
    140  ANT_SetSelectiveDataUpdateMask_RTO
    141  ANT_SetSerialNumChannelId
    142  ANT_SetSerialNumChannelId_RTO
    143  ANT_SetTransmitPower
    144  ANT_SetTransmitPower_RTO
    145  ANT_SleepMessage
    146  ANT_SleepMessage_RTO
    147  ANT_UnAssignChannel
    148  ANT_UnAssignChannel_RTO
    149  ANT_UnassignAllResponseFunctions
    150  ANT_WriteMessage
    151  FIT_AdjustPairingSettings
    152  FIT_AdjustPairingSettings_RTO
    153  FIT_SetFEState
    154  FIT_SetFEState_RTO
